iter	Passed	Remaining
0	143	143800
1	145	72494
2	146	48673
3	147	36741
4	148	29634
5	150	24867
6	151	21466
7	152	18914
8	153	16924
9	154	15333
10	156	14036
11	157	12954
12	158	12035
13	159	11244
14	160	10561
15	161	9960
16	163	9435
17	164	8965
18	165	8545
19	166	8166
20	167	7824
21	169	7513
22	170	7227
23	171	6966
24	172	6726
25	173	6504
26	174	6299
27	175	6108
28	177	5928
29	178	5765
30	179	5611
31	180	5466
32	181	5330
33	183	5202
34	184	5081
35	185	4965
36	186	4855
37	187	4752
38	188	4654
39	190	4560
40	191	4471
41	192	4387
42	193	4307
43	194	4231
44	195	4158
45	197	4088
46	198	4021
47	199	3957
48	200	3896
49	201	3837
50	203	3778
51	204	3723
52	205	3669
53	206	3616
54	207	3567
55	208	3519
56	210	3475
57	211	3432
58	212	3390
59	213	3349
60	215	3310
61	216	3272
62	217	3235
63	218	3199
64	220	3165
65	221	3131
66	222	3099
67	223	3058
68	224	3028
69	225	2996
70	226	2966
71	227	2936
72	228	2907
73	230	2878
74	231	2850
75	232	2824
76	233	2797
77	234	2772
78	235	2747
79	236	2722
80	237	2698
81	238	2675
82	240	2652
83	241	2629
84	241	2603
85	242	2582
86	243	2557
87	244	2536
88	245	2516
89	246	2496
90	248	2477
91	249	2458
92	250	2439
93	251	2421
94	252	2404
95	253	2386
96	254	2369
97	255	2352
98	256	2336
99	257	2319
100	258	2303
101	259	2283
102	260	2268
103	261	2253
104	262	2238
105	263	2224
106	264	2209
107	265	2195
108	267	2183
109	268	2169
110	269	2157
111	270	2143
112	271	2130
113	272	2117
114	273	2105
115	274	2091
116	275	2079
117	276	2067
118	277	2053
119	278	2042
120	279	2030
121	280	2019
122	281	2005
123	282	1994
124	283	1983
125	284	1973
126	285	1962
127	286	1950
128	287	1939
129	288	1930
130	289	1920
131	290	1910
132	291	1901
133	292	1891
134	293	1882
135	294	1873
136	295	1864
137	296	1854
138	298	1846
139	299	1837
140	300	1828
141	301	1820
142	302	1811
143	303	1803
144	304	1795
145	305	1787
146	306	1779
147	307	1771
148	308	1764
149	310	1756
150	311	1749
151	312	1741
152	313	1734
153	314	1727
154	315	1719
155	316	1712
156	317	1705
157	318	1698
158	319	1691
159	320	1683
160	321	1677
161	323	1670
162	324	1664
163	325	1658
164	326	1652
165	327	1646
166	328	1640
167	330	1634
168	331	1628
169	332	1621
170	333	1615
171	334	1609
172	335	1603
173	336	1597
174	337	1591
175	338	1585
176	339	1579
177	340	1573
178	342	1568
179	343	1562
180	343	1554
181	344	1549
182	345	1543
183	346	1538
184	347	1532
185	348	1527
186	350	1521
187	351	1516
188	352	1510
189	353	1505
190	354	1500
191	355	1495
192	356	1490
193	357	1485
194	358	1480
195	359	1475
196	360	1470
197	361	1465
198	362	1460
199	363	1455
200	365	1450
201	366	1446
202	367	1441
203	368	1436
204	369	1432
205	370	1427
206	371	1423
207	372	1418
208	373	1414
209	374	1409
210	375	1405
211	377	1401
212	378	1397
213	379	1392
214	380	1388
215	381	1384
216	382	1380
217	383	1376
218	384	1371
219	385	1367
220	386	1363
221	387	1359
222	388	1355
223	389	1351
224	391	1346
225	392	1342
226	393	1338
227	394	1334
228	395	1330
229	396	1326
230	397	1322
231	398	1318
232	399	1315
233	400	1311
234	401	1307
235	402	1303
236	403	1299
237	404	1296
238	405	1292
239	407	1288
240	408	1285
241	409	1281
242	410	1277
243	411	1274
244	412	1270
245	413	1267
246	414	1263
247	415	1260
248	416	1256
249	417	1253
250	418	1249
251	419	1246
252	420	1242
253	421	1239
254	423	1235
255	424	1232
256	425	1228
257	426	1225
258	427	1222
259	428	1218
260	429	1215
261	430	1212
262	431	1209
263	432	1205
264	433	1202
265	434	1199
266	435	1196
267	436	1193
268	437	1189
269	438	1186
270	440	1183
271	441	1180
272	442	1177
273	443	1174
274	444	1171
275	445	1168
276	446	1165
277	447	1162
278	448	1159
279	450	1157
280	451	1154
281	452	1151
282	453	1148
283	454	1145
284	455	1142
285	456	1139
286	457	1136
287	458	1134
288	459	1131
289	461	1128
290	462	1126
291	463	1123
292	464	1120
293	465	1117
294	466	1114
295	467	1112
296	468	1109
297	469	1106
298	470	1103
299	471	1100
300	472	1098
301	473	1095
302	475	1093
303	476	1090
304	477	1088
305	478	1085
306	479	1082
307	480	1079
308	481	1077
309	482	1074
310	483	1071
311	484	1069
312	485	1066
313	486	1063
314	488	1061
315	489	1058
316	490	1056
317	491	1053
318	492	1051
319	493	1048
320	494	1046
321	495	1043
322	496	1040
323	497	1038
324	498	1035
325	499	1033
326	500	1030
327	502	1028
328	503	1026
329	504	1023
330	505	1021
331	506	1018
332	507	1016
333	508	1013
334	509	1011
335	510	1009
336	511	1006
337	512	1004
338	513	1001
339	514	999
340	516	997
341	517	994
342	518	992
343	519	990
344	520	987
345	521	985
346	522	983
347	523	980
348	524	978
349	525	975
350	526	973
351	527	971
352	528	968
353	529	966
354	530	964
355	531	962
356	532	959
357	534	957
358	535	955
359	536	953
360	537	951
361	538	948
362	539	946
363	540	944
364	541	942
365	542	939
366	543	937
367	544	935
368	545	933
369	546	931
370	548	929
371	549	927
372	550	925
373	551	922
374	552	920
375	553	918
376	554	916
377	555	914
378	556	912
379	557	910
380	558	908
381	560	906
382	561	904
383	562	902
384	563	900
385	564	898
386	565	896
387	566	894
388	567	891
389	568	889
390	569	887
391	571	885
392	572	883
393	573	881
394	574	879
395	575	877
396	576	875
397	577	873
398	578	871
399	579	869
400	580	867
401	581	865
402	582	863
403	584	861
404	585	859
405	586	857
406	587	855
407	588	853
408	589	851
409	590	849
410	591	847
411	592	845
412	593	843
413	594	842
414	595	840
415	597	838
416	598	836
417	599	834
418	600	832
419	601	830
420	602	828
421	603	826
422	604	824
423	605	822
424	606	820
425	607	818
426	608	817
427	609	815
428	610	813
429	612	811
430	613	809
431	614	807
432	615	805
433	616	803
434	617	801
435	618	799
436	619	798
437	620	796
438	621	794
439	622	792
440	623	790
441	624	788
442	626	787
443	627	785
444	629	785
445	631	784
446	632	782
447	633	780
448	634	778
449	635	777
450	636	775
451	638	773
452	639	771
453	640	769
454	641	768
455	642	766
456	643	764
457	644	762
458	645	760
459	646	758
460	647	757
461	648	755
462	649	753
463	651	752
464	652	750
465	653	748
466	654	747
467	655	745
468	656	743
469	657	741
470	658	739
471	659	738
472	660	736
473	661	734
474	663	732
475	664	731
476	665	729
477	666	727
478	667	726
479	668	724
480	669	722
481	670	720
482	671	719
483	672	717
484	673	715
485	674	713
486	675	712
487	677	710
488	678	708
489	679	707
490	680	705
491	681	703
492	682	702
493	684	700
494	685	699
495	686	697
496	687	695
497	688	693
498	689	692
499	690	690
500	691	688
501	692	687
502	693	685
503	694	683
504	695	682
505	697	680
506	698	678
507	699	677
508	700	675
509	701	673
510	702	672
511	703	670
512	704	668
513	705	667
514	706	665
515	707	663
516	708	662
517	709	660
518	711	658
519	712	657
520	713	655
521	714	654
522	715	652
523	716	650
524	717	649
525	718	647
526	719	645
527	720	644
528	721	642
529	722	640
530	723	639
531	724	637
