iter	Passed	Remaining
0	101	101892
1	103	51463
2	105	34912
3	105	26378
4	106	21258
5	107	17866
6	108	15440
7	109	13610
8	110	12186
9	111	11043
10	112	10103
11	113	9327
12	114	8663
13	114	8095
14	115	7602
15	116	7177
16	117	6799
17	118	6458
18	119	6153
19	120	5880
20	120	5635
21	122	5424
22	123	5237
23	124	5054
24	125	4881
25	126	4721
26	126	4571
27	127	4431
28	128	4301
29	129	4180
30	130	4069
31	131	3964
32	131	3865
33	132	3771
34	133	3682
35	134	3597
36	135	3517
37	135	3442
38	136	3372
39	137	3309
40	138	3248
41	139	3188
42	140	3130
43	141	3074
44	142	3021
45	143	2969
46	144	2920
47	144	2874
48	145	2830
49	146	2786
50	147	2743
51	148	2702
52	149	2663
53	149	2625
54	150	2588
55	151	2554
56	152	2523
57	153	2492
58	154	2461
59	155	2431
60	156	2401
61	156	2373
62	157	2345
63	158	2317
64	159	2292
65	160	2268
66	161	2243
67	161	2218
68	162	2195
69	163	2172
70	164	2149
71	165	2127
72	165	2107
73	166	2088
74	167	2069
75	168	2050
76	169	2032
77	170	2013
78	171	1995
79	171	1977
80	172	1960
81	173	1944
82	174	1924
83	175	1908
84	175	1893
85	176	1878
86	177	1863
87	178	1848
88	179	1833
89	179	1819
90	180	1806
91	181	1795
92	182	1782
93	183	1771
94	184	1758
95	185	1746
96	186	1733
97	187	1721
98	187	1710
99	188	1698
100	189	1687
101	190	1676
102	191	1665
103	192	1654
104	192	1643
105	193	1632
106	194	1622
107	195	1613
108	196	1603
109	197	1594
110	197	1585
111	198	1575
112	199	1566
113	200	1557
114	201	1548
115	202	1539
116	202	1530
117	203	1521
118	204	1513
119	205	1505
120	206	1496
121	206	1487
122	207	1479
123	208	1471
124	209	1463
125	209	1456
126	210	1448
127	211	1441
128	212	1434
129	213	1427
130	214	1420
131	214	1413
132	215	1406
133	216	1399
134	217	1394
135	218	1387
136	219	1381
137	220	1374
138	220	1367
139	221	1361
140	222	1355
141	223	1347
142	223	1341
143	224	1335
144	225	1329
145	226	1323
146	227	1318
147	227	1312
148	228	1306
149	229	1301
150	230	1296
151	231	1290
152	232	1285
153	233	1280
154	233	1274
155	234	1269
156	235	1263
157	236	1258
158	237	1253
159	237	1248
160	238	1242
161	239	1237
162	240	1232
163	240	1227
164	241	1223
165	242	1219
166	243	1215
167	244	1210
168	245	1206
169	246	1201
170	246	1197
171	247	1192
172	248	1188
173	249	1183
174	250	1179
175	250	1175
176	251	1170
177	252	1166
178	253	1162
179	254	1158
180	255	1153
181	255	1149
182	256	1145
183	257	1142
184	258	1138
185	259	1133
186	259	1130
187	260	1126
188	261	1122
189	262	1118
190	263	1114
191	263	1110
192	264	1107
193	265	1103
194	266	1100
195	267	1096
196	268	1092
197	268	1089
198	269	1085
199	270	1082
200	271	1079
201	272	1075
202	273	1072
203	274	1069
204	274	1066
205	275	1063
206	276	1060
207	277	1057
208	278	1053
209	279	1050
210	280	1047
211	280	1044
212	281	1041
213	282	1037
214	283	1034
215	284	1031
216	284	1028
217	285	1024
218	286	1021
219	287	1018
220	288	1016
221	289	1013
222	289	1010
223	290	1007
224	291	1004
225	292	1001
226	293	998
227	293	995
228	294	992
229	295	989
230	296	987
231	297	984
232	298	981
233	299	979
234	299	976
235	300	973
236	301	971
237	302	968
238	303	965
239	304	963
240	304	960
241	305	957
242	306	954
243	307	952
244	308	949
245	308	946
246	309	944
247	310	942
248	311	939
249	312	936
250	313	934
251	313	931
252	314	929
253	315	926
254	316	925
255	317	923
256	318	921
257	319	918
258	320	916
259	321	914
260	322	911
261	322	909
262	323	906
263	324	904
264	325	902
265	326	899
266	326	897
267	327	894
268	328	892
269	329	890
270	330	887
271	330	885
272	331	883
273	332	881
274	333	879
275	334	876
276	335	874
277	335	872
278	336	870
279	337	868
280	338	865
281	339	863
282	340	861
283	340	859
284	341	856
285	342	854
286	343	852
287	344	850
288	344	848
289	345	846
290	346	844
291	347	842
292	348	840
293	349	838
294	350	836
295	350	834
296	351	832
297	352	830
298	353	828
299	354	826
300	355	824
301	355	822
302	356	820
303	357	818
304	358	816
305	359	814
306	359	812
307	360	810
308	361	808
309	362	807
310	363	805
311	364	803
312	365	801
313	366	799
314	366	797
315	367	795
316	368	794
317	369	792
318	370	790
319	371	788
320	371	786
321	372	784
322	373	782
323	374	781
324	375	779
325	376	777
326	376	775
327	377	773
328	378	772
329	379	770
330	380	768
331	380	766
332	381	764
333	382	762
334	383	761
335	384	759
336	385	757
337	385	755
338	386	753
339	387	752
340	388	750
341	388	748
342	389	746
343	390	744
344	391	743
345	392	741
346	393	740
347	394	738
348	394	736
349	395	734
350	396	733
351	397	731
352	398	729
353	398	728
354	399	726
355	400	724
356	401	722
357	402	721
358	402	719
359	403	717
360	404	716
361	405	714
362	407	715
363	408	713
364	409	712
365	410	710
366	411	708
367	411	707
368	412	705
369	413	704
370	414	703
371	415	701
372	416	699
373	417	698
374	418	697
375	419	695
376	420	694
377	421	693
378	422	692
379	423	690
380	424	689
381	425	688
382	426	686
383	427	685
384	428	683
385	429	682
386	429	680
387	430	679
388	431	677
389	432	676
390	433	674
391	433	673
392	434	671
393	436	670
394	437	669
395	438	668
396	438	666
397	439	665
398	440	663
399	441	661
400	442	660
401	442	658
402	443	657
403	444	655
404	445	654
405	446	652
406	446	651
407	447	649
408	448	648
409	449	646
410	450	645
411	451	644
412	452	642
413	453	641
414	454	639
415	454	638
416	455	637
417	456	635
418	457	634
419	458	632
420	459	631
421	459	630
422	460	628
423	461	627
424	462	625
425	463	624
426	463	622
427	464	621
428	465	619
429	466	618
430	467	617
431	468	615
432	469	614
433	469	612
434	470	611
435	471	609
436	472	608
437	472	606
438	473	605
439	474	604
440	475	602
441	476	601
442	477	600
443	478	598
444	478	597
445	479	595
446	480	594
447	481	593
448	482	591
449	483	590
450	483	589
451	484	587
452	485	586
453	486	584
454	487	583
455	487	582
456	488	580
457	489	579
458	490	577
459	491	576
460	491	575
461	492	573
462	493	572
463	494	571
464	495	569
465	496	568
466	497	567
467	497	566
468	498	564
469	499	563
470	500	562
471	501	560
472	502	559
473	502	558
474	503	556
475	504	555
476	505	553
477	506	552
478	506	551
479	507	549
480	508	548
481	509	547
482	509	545
483	510	544
484	511	543
485	512	542
486	513	540
487	514	539
488	515	538
489	515	536
490	516	535
491	517	534
492	518	533
493	519	532
494	520	530
495	521	529
496	521	528
497	522	526
498	523	525
499	524	524
500	524	522
501	525	521
502	526	520
503	527	519
504	528	517
505	529	516
506	529	515
507	530	513
508	531	512
509	532	511
510	532	510
511	533	508
512	534	507
513	535	506
514	536	504
515	537	503
516	537	502
517	538	501
518	539	499
519	540	499
520	541	498
521	542	496
522	543	495
523	544	494
524	544	493
525	545	491
526	546	490
527	547	489
528	548	488
529	548	486
530	549	485
531	550	484
532	551	483
533	552	481
534	552	480
535	553	479
536	554	478
537	555	477
538	556	475
539	557	474
540	557	473
541	558	472
542	559	470
543	560	469
544	561	468
545	562	467
546	562	466
547	563	464
548	564	463
549	565	462
550	566	461
551	567	460
552	567	459
553	568	457
554	569	456
555	570	455
556	571	454
557	572	453
558	572	451
559	573	450
560	574	449
561	575	448
562	575	447
563	576	445
564	577	444
565	578	443
566	579	442
567	579	441
568	580	439
569	581	438
570	582	437
571	583	436
572	583	435
573	584	433
574	585	433
575	586	431
576	587	430
577	588	429
578	589	428
579	590	427
580	591	426
581	591	425
582	592	423
583	593	422
584	594	421
585	595	420
586	595	419
587	596	418
588	597	416
589	598	415
590	598	414
591	599	413
592	600	412
593	601	411
594	602	410
595	603	408
596	603	407
597	604	406
598	605	405
599	606	404
600	607	403
601	608	401
602	608	400
603	609	399
604	610	398
605	611	397
606	611	396
607	612	395
608	613	393
609	614	392
610	615	391
611	616	390
612	616	389
613	617	388
614	618	387
615	619	386
616	620	384
617	620	383
618	621	382
619	622	381
620	623	380
621	624	379
622	624	378
623	625	377
624	626	376
625	627	374
626	628	373
627	629	372
628	630	371
629	630	370
630	631	369
631	632	368
632	633	367
633	634	366
634	634	364
635	635	363
636	636	362
637	637	361
638	638	360
639	638	359
640	639	358
641	640	357
642	641	356
643	642	354
644	642	353
645	643	352
646	644	351
647	645	350
648	646	349
649	647	348
650	648	347
651	648	346
652	649	345
653	650	344
654	651	343
655	652	341
656	653	340
657	653	339
658	654	338
659	655	337
660	656	336
661	657	335
662	657	334
663	658	333
664	659	332
665	660	331
666	661	330
667	662	329
668	663	328
669	664	327
670	664	325
671	665	324
672	666	323
673	667	322
674	668	321
675	668	320
676	669	319
677	670	318
678	671	317
679	672	316
680	672	315
681	673	314
682	674	313
683	675	312
684	676	311
685	677	310
686	678	309
687	679	308
688	680	307
689	680	305
690	681	304
691	682	303
692	683	302
693	684	301
694	685	301
695	686	300
696	687	299
697	688	298
698	689	297
699	690	296
700	691	295
701	692	293
702	693	292
703	694	291
704	695	290
705	695	289
706	696	288
707	697	287
708	698	286
709	699	285
710	700	284
711	701	283
712	701	282
713	703	281
714	704	280
715	705	279
716	705	278
717	706	277
718	707	276
719	708	275
720	709	274
721	710	273
722	711	272
723	712	271
724	712	270
725	713	269
726	714	268
727	715	267
728	716	266
729	717	265
730	718	264
731	719	263
732	720	262
733	721	261
734	721	260
735	722	259
736	723	258
737	724	257
738	725	256
739	726	255
740	726	254
741	727	252
742	728	251
743	729	250
744	730	249
745	730	248
746	732	248
747	733	247
748	738	247
749	739	246
750	740	245
751	741	244
752	742	243
753	743	242
754	744	241
755	745	240
756	747	239
757	748	238
758	749	238
759	750	237
760	751	236
761	752	235
762	753	234
763	754	233
764	755	232
765	756	231
766	757	230
767	758	229
768	759	228
769	761	227
770	762	226
771	763	225
772	764	224
773	765	223
774	766	222
775	767	221
776	769	220
777	771	220
778	773	219
779	774	218
780	775	217
781	776	216
782	777	215
783	779	214
784	780	213
785	781	212
786	782	211
787	782	210
788	783	209
789	784	208
790	785	207
791	786	206
792	787	205
793	787	204
794	788	203
795	789	202
796	790	201
797	791	200
798	792	199
799	793	198
800	794	197
801	795	196
802	796	195
803	798	194
804	798	193
805	799	192
806	800	191
807	801	190
808	802	189
809	803	188
810	804	187
811	805	186
812	805	185
813	806	184
814	807	183
815	808	182
816	809	181
817	809	180
818	810	179
819	811	178
820	812	177
821	813	176
822	814	175
823	815	174
824	815	173
825	816	172
826	817	171
827	818	169
828	819	168
829	819	167
830	820	166
831	821	165
832	822	164
833	823	163
834	823	162
835	824	161
836	825	160
837	826	159
838	827	158
839	828	157
840	828	156
841	829	155
842	830	154
843	831	153
844	832	152
845	832	151
846	833	150
847	834	149
848	835	148
849	836	147
850	836	146
851	837	145
852	838	144
853	839	143
854	840	142
855	841	141
856	842	140
857	842	139
858	843	138
